Total Household Income,Total Food Expenditure,Household Head Age,Alcoholic Beverages Expenditure,Household Head Highest Grade Completed,Education Expenditure,Total Number of Family members,Total number of family members employed
431137,41715,79,0,Elementary Graduate,0,2,0
196324,75064,45,1043,High School Graduate,380,7,2
111010,56168,32,1095,High School Graduate,400,4,2
331080,105383,59,784,Grade 5,5460,10,0
218842,39091,36,255,Third Year College,200,4,1
214314,84490,47,280,Elementary Graduate,190,9,5
112061,65666,49,1380,Grade 3,560,7,2
98442,48393,54,390,Grade 3,0,9,4
161051,64040,61,2207,Grade 5,304,10,4
324778,93398,44,455,High School Graduate,24756,6,1
208474,66292,54,78,Second Year High School,24960,7,2
99599,49724,42,282,Grade 5,600,9,2
120608,34282,44,425,Grade 3,148,5,2
99004,38969,63,0,Third Year College,970,4,1
643400,106200,58,1020,Third Year College,0,3,2
343532,74649,72,0,High School Graduate,0,4,1
508334,124533,70,4500,Business and Administration Programs,44100,6,1
135963,49251,31,845,First Year Post Secondary,415,4,2
164496,43365,56,0,High School Graduate,1500,3,2
194265,44208,45,0,Second Year High School,3400,4,1
1487906,255930,61,4860,Business and Administration Programs,0,4,4
105695,43913,43,410,High School Graduate,1355,4,2
52702,10166,65,1810,Grade 4,0,1,0
112075,65675,44,0,Grade 5,85,9,1
110968,61271,49,0,No Grade Completed,11500,5,2
67918,42427,38,300,Grade 2,980,8,1
98560,36496,62,1820,Grade 2,0,5,1
110505,35136,25,0,Elementary Graduate,50,4,1
71955,33090,50,588,Grade 5,2370,7,0
62038,32413,44,50,Grade 3,200,6,0
117535,55195,36,0,Grade 2,360,8,1
47144,21564,28,50,First Year College,0,2,2
104795,52228,41,1800,Elementary Graduate,1110,5,1
70095,43157,34,0,Grade 5,1388,9,2
412595,15899,72,0,Elementary Graduate,0,1,1
41922,16430,58,0,Grade 3,0,2,0
50285,21063,43,0,Grade 1,20,5,1
107677,14296,30,1220,Elementary Graduate,0,1,1
406461,104633,48,276,Engineering and Engineering trades Programs,7030,3,1
140685,43478,77,0,High School Graduate,26200,4,1
888635,214794,65,13260,Engineering and Engineering Trades Programs,39360,4,2
528145,167598,74,0,High School Graduate,20830,8,1
462907,122977,49,0,Teacher Training and Education Sciences Programs,5850,5,2
147643,42999,60,0,Second Year High School,0,2,0
259643,102150,59,2990,Elementary Graduate,14000,7,2
142065,70982,67,780,High School Graduate,2230,7,0
334049,61189,69,350,Business and Administration Programs,13030,2,0
65720,32855,50,0,High School Graduate,630,3,1
137917,71169,52,660,Elementary Graduate,3101,11,2
87549,35060,62,390,First Year High School,0,3,0
416448,168224,43,65,High School Graduate,51404,5,1
105475,56831,42,3100,Grade 5,630,7,1
101310,58002,66,0,Grade 4,660,3,1
36463,21062,73,30,Grade 2,0,2,0
41802,13996,72,140,Elementary Graduate,0,1,0
124818,55362,29,722,Third Year High School,650,5,2
79550,25183,53,1205,Elementary Graduate,740,3,0
74649,30751,46,370,Elementary Graduate,1650,6,4
77450,16164,53,2940,Elementary Graduate,14500,3,1
29534,8117,75,0,No Grade Completed,0,1,0
120606,60893,42,915,Elementary Graduate,190,3,2
148582,78587,48,30,First Year High School,900,6,1
166220,73122,48,420,Second Year High School,7820,7,0
85160,40835,50,2040,Grade 3,0,3,1
104788,42185,72,495,Grade 4,515,5,2
371868,100362,41,810,High School Graduate,18070,5,2
84444,45427,63,420,Grade 2,440,7,1
106210,50386,78,0,Business and Administration Programs,0,2,0
116363,69498,63,1080,Elementary Graduate,0,3,3
91643,39262,48,270,High School Graduate,0,3,2
71650,31661,62,260,High School Graduate,0,2,1
88275,41812,61,218,Grade 5,120,7,2
95870,41102,34,3218,Second Year High School,0,4,4
41184,14310,52,75,Business and Administration Programs,0,2,1
136175,92032,36,770,Grade 4,350,7,0
73495,18213,57,0,Elementary Graduate,18100,3,2
119085,59426,33,1230,Elementary Graduate,500,5,2
94785,46067,43,855,High School Graduate,390,6,1
106133,36176,50,60,Grade 3,19000,4,2
107658,40000,47,170,Elementary Graduate,900,3,1
129850,46402,44,780,Elementary Graduate,14600,6,1
71194,25924,58,50,Grade 4,500,3,1
119190,55423,52,750,Second Year High School,150,5,3
58344,15703,58,1870,Grade 3,0,2,0
62749,25326,72,0,Elementary Graduate,0,2,1
112870,45706,51,2260,Third Year High School,22300,3,1
101576,61189,38,650,Grade 5,1700,4,2
64985,15883,69,220,Elementary Graduate,0,2,0
166752,62613,56,1080,First Year High School,800,7,1
69399,33813,61,280,Grade 3,500,6,2
89023,52734,62,180,Grade 2,310,11,0
95630,41569,44,872,High School Graduate,25,4,1
49899,33016,68,270,Grade 5,0,6,2
83765,44003,52,450,Elementary Graduate,205,8,1
117805,66260,67,0,Second Year College,215,5,1
35792,7213,69,2350,Grade 4,0,1,1
50862,18157,71,10,Third Year High School,0,1,0
77016,45613,38,300,Elementary Graduate,345,5,1
80400,37375,41,0,High School Graduate,850,6,1
64639,27894,37,560,Elementary Graduate,480,3,0
34775,8100,74,300,Grade 1,0,1,0
92791,41788,57,0,Elementary Graduate,1065,6,1
47406,21210,66,730,Grade 4,0,2,0
55925,27329,64,10,Elementary Graduate,150,3,0
101665,51087,69,260,Grade 4,1810,5,1
77829,18865,53,50,Elementary Graduate,0,2,0
31724,8977,84,0,No Grade Completed,0,1,0
55844,32328,45,70,Grade 5,0,3,1
104325,45548,64,116,Elementary Graduate,800,3,0
84975,49724,48,790,Elementary Graduate,272,8,3
65345,42880,51,765,Grade 3,320,6,0
102822,32534,57,5200,Elementary Graduate,380,3,1
107090,47921,49,1370,Third Year High School,850,3,0
160172,76799,58,1261,Grade 1,500,8,3
124678,49776,44,2630,Engineering and Engineering trades Programs,965,3,1
92052,53785,41,470,Second Year High School,390,4,1
95279,38357,47,1170,Grade 2,459,6,1
63769,24380,37,655,Second Year High School,289,4,1
119689,64236,57,2420,High School Graduate,0,8,2
54193,31986,58,90,Elementary Graduate,768,6,2
501670,153738,38,5140,Second Year High School,40200,4,2
61882,13104,77,0,Elementary Graduate,0,1,0
103807,51439,29,585,Elementary Graduate,580,5,2
97914,35816,46,0,Second Year High School,354,4,1
144414,89045,30,1690,Elementary Graduate,960,5,2
461130,157068,44,826,Engineering and Engineering Trades Programs,850,5,2
523207,180517,51,1080,Second Year College,37650,5,3
52410,28537,57,0,Elementary Graduate,0,1,0
264464,66313,65,0,High School Graduate,1300,3,0
356528,162731,62,240,Elementary Graduate,28700,7,1
133997,50130,68,2900,Elementary Graduate,3080,3,0
314877,42818,60,16560,High School Graduate,0,1,0
86062,44619,42,360,Grade 4,1673,6,0
192507,69276,38,320,High School Graduate,2299,5,2
89223,32968,65,500,First Year High School,0,4,1
109127,52019,57,300,Grade 5,330,9,1
66731,30525,49,310,High School Graduate,670,5,1
33231,13848,51,510,Grade 1,0,2,1
242475,100747,57,1690,Grade 4,0,6,1
137110,29611,64,210,Second Year High School,0,2,1
102548,35416,66,120,Grade 5,820,3,0
78426,34890,71,0,Elementary Graduate,1117,7,1
70308,22854,44,768,Second Year High School,129,3,1
121002,52219,44,1020,Grade 4,645,7,1
105953,63632,50,2455,Grade 5,0,5,1
376359,75576,43,0,High School Graduate,450,6,1
114454,59826,33,300,Elementary Graduate,530,8,1
66035,17491,52,1240,Grade 3,0,1,1
119087,59457,57,60,Elementary Graduate,600,5,1
88165,30679,54,408,Elementary Graduate,500,6,2
192835,71191,59,855,Second Year High School,0,8,2
106840,46442,58,0,Business and Administration Programs,883,7,1
69859,34895,59,0,Second Year High School,160,2,0
41142,27139,65,2290,Elementary Graduate,385,3,1
43777,17137,21,1098,Grade 2,0,2,1
56104,30593,43,826,Grade 2,0,7,0
74400,42500,40,2130,Grade 1,110,7,1
65998,44172,47,1300,Grade 4,1020,8,1
79768,52127,55,874,Elementary Graduate,190,8,2
73198,46776,43,500,Grade 2,160,6,0
44930,23320,65,2850,Grade 1,0,2,0
36904,16785,53,2252,Grade 4,30,2,1
72697,45656,50,600,Grade 5,55,7,3
107700,58014,40,3456,Grade 5,4550,6,1
37781,7594,69,0,Elementary Graduate,0,1,1
121261,53210,98,146,No Grade Completed,3200,4,1
162998,91688,43,0,Third Year High School,5920,7,2
82407,45509,53,320,No Grade Completed,0,4,2
220348,95957,50,222,Second Year High School,730,6,1
73567,28458,45,260,High School Graduate,0,4,0
146049,49773,64,139,Grade 5,0,7,2
117215,48248,52,110,Elementary Graduate,200,6,2
77657,26168,27,405,Elementary Graduate,0,6,1
104120,47498,64,589,Grade 5,350,5,1
115116,53825,63,726,First Year High School,200,6,1
90457,33760,44,207,Grade 3,1620,5,2
82615,43006,61,780,Grade 4,330,6,1
28822,9897,73,0,No Grade Completed,0,1,0
119587,59293,56,233,Elementary Graduate,0,5,0
98632,52509,45,45,Grade 2,200,9,2
66209,24259,60,600,Elementary Graduate,1250,3,0
100302,56025,37,45,Grade 4,300,10,1
95273,46477,76,0,Grade 1,0,8,0
188388,78063,75,0,Elementary Graduate,1080,7,1
79664,39760,44,0,High School Graduate,180,5,2
58295,27012,64,208,Elementary Graduate,0,4,2
52686,17095,71,0,Grade 4,0,2,0
60490,37521,72,534,No Grade Completed,0,2,0
42378,12300,51,0,First Year High School,0,2,1
113603,53134,69,600,Grade 2,250,4,0
92024,44218,46,270,Elementary Graduate,680,8,1
126166,40977,46,3780,Elementary Graduate,9765,5,2
87410,34040,52,330,Grade 4,13600,5,1
99042,65157,33,638,Second Year High School,230,6,1
76682,39674,45,1924,First Year High School,350,4,1
96925,42921,32,2237,Grade 5,785,4,2
97600,51826,28,0,Elementary Graduate,536,4,0
102239,53408,67,0,Grade 3,1240,5,1
365602,90884,45,222,Teacher Training and Education Sciences Programs,1692,5,1
93606,44900,47,0,Grade 5,305,5,1
63735,28048,24,362,Grade 2,0,3,1
542005,178062,33,1440,First Year High School,2650,5,1
53410,24760,25,0,High School Graduate,50,3,1
76675,30200,29,520,Grade 5,666,5,1
409940,99949,42,0,"Other Programs in Education at the Third Level, First Stage, of the Type that Leads to an Award not Equivalent to a First University or Baccalaureate Degree",682,5,1
68694,26289,73,0,No Grade Completed,0,3,0
131898,55522,45,0,Elementary Graduate,21170,4,0
180085,60650,42,360,Elementary Graduate,300,5,1
73252,33159,46,1252,Grade 5,300,4,2
62660,26537,60,0,Grade 2,800,6,6
93726,54021,47,200,Grade 5,705,7,2
70251,27534,34,845,Grade 5,600,5,1
48727,28870,35,168,Grade 4,240,4,1
177390,66460,79,2685,Second Year High School,6500,5,2
73870,38377,54,116,First Year High School,1450,8,3
65100,46346,50,1500,Grade 2,250,7,2
73842,46104,43,960,Grade 4,285,5,2
75550,51227,42,1928,Grade 5,1870,8,1
37710,18068,59,175,Grade 3,0,2,0
48102,22163,50,260,No Grade Completed,0,3,0
119799,58236,55,0,Grade 3,0,4,1
54040,32986,32,2484,Grade 4,120,5,0
68695,34871,45,6734,Grade 4,100,5,0
58940,31115,45,480,No Grade Completed,40,5,1
70429,41704,45,520,No Grade Completed,280,8,2
52768,21292,59,260,No Grade Completed,275,3,0
59196,27559,44,1260,Grade 4,325,3,1
59395,39542,36,2860,No Grade Completed,0,8,0
22956,7495,64,260,Grade 2,0,1,0
88775,47592,46,3692,Grade 5,960,9,1
121706,64350,74,2305,No Grade Completed,770,8,3
115680,58672,68,0,Elementary Graduate,600,4,1
72119,45980,43,0,Grade 4,1930,8,1
302155,60018,40,0,Grade 4,16000,6,0
128206,43262,42,0,First Year High School,1507,7,4
54984,28593,43,0,No Grade Completed,300,4,0
68990,44475,48,0,Grade 4,1293,7,3
126445,45137,55,0,Grade 1,17500,7,1
43085,26151,32,0,No Grade Completed,0,2,1
126405,40266,80,0,Grade 1,0,2,1
69304,35789,50,1840,Grade 4,650,3,1
47254,26638,66,1790,Grade 4,60,4,2
106290,49689,59,3276,Second Year High School,10170,7,0
69050,36539,29,3120,Grade 3,1520,3,1
71420,42717,55,1500,No Grade Completed,1340,6,3
74118,49840,42,2190,No Grade Completed,650,10,2
29048,12398,45,470,No Grade Completed,200,2,1
132524,57272,37,1020,Grade 1,3280,10,2
70052,37513,41,555,Grade 2,150,3,1
125370,51949,40,0,High School Graduate,14456,3,1
314664,66563,51,270,Second Year College,19330,3,1
184279,68623,57,125,No Grade Completed,46260,5,0
107985,41808,44,0,Grade 5,1524,5,1
163560,61746,65,0,Grade 5,1850,10,0
98497,61438,41,0,Grade 4,285,7,2
44775,19265,47,0,Elementary Graduate,0,2,0
144764,67485,50,1585,Third Year College,1191,10,4
66690,43886,27,620,Grade 3,75,6,1
77915,29658,78,670,Grade 4,300,5,0
285659,74445,52,1675,Business and Administration Programs,1650,7,2
83031,41187,57,2520,Grade 2,529,3,1
160949,35006,71,100,Elementary Graduate,13300,2,0
99140,32392,62,30,High School Graduate,100,5,0
46500,26018,45,812,No Grade Completed,620,5,1
106871,49741,44,110,Second Year College,6960,6,1
80169,44310,37,356,Preschool,505,5,2
101775,29333,55,616,Elementary Graduate,200,1,0
137460,22623,62,0,High School Graduate,0,1,0
78350,42864,57,490,Preschool,545,10,1
97493,31316,63,720,High School Graduate,27000,5,0
380135,67926,46,800,High School Graduate,26390,5,2
168789,53548,76,1380,Grade 4,300,4,0
91689,43379,41,320,Grade 2,920,7,1
60985,31247,54,1388,Grade 2,0,2,1
60318,23389,80,1720,Elementary Graduate,0,2,0
73960,34374,72,0,Elementary Graduate,850,3,0
74955,36183,62,0,Second Year High School,0,4,1
43346,18143,76,200,Grade 4,0,2,0
61551,28677,37,100,First Year High School,436,3,1
74668,35356,44,1330,Grade 3,350,8,1
95218,41731,48,1236,First Year High School,0,3,1
56571,18893,56,850,Transport Services Programs,0,1,0
354665,108132,32,210,High School Graduate,260,3,1
86690,48223,56,198,Elementary Graduate,1930,4,3
80285,31686,60,1360,Second Year High School,650,4,1
119953,45013,64,750,Elementary Graduate,4755,7,2
79287,35069,60,285,Elementary Graduate,1020,4,1
74858,31136,33,0,"Agriculture, Forestry, and Fishery Programs",2536,3,1
41752,16831,56,0,Elementary Graduate,0,3,1
78639,53709,47,1120,Second Year High School,300,8,1
79998,43889,49,3760,Elementary Graduate,0,6,1
155359,32188,52,144,Grade 4,13270,3,1
492580,100398,51,709,Elementary Graduate,50900,4,2
373742,122982,42,3365,Third Year College,45400,6,0
63378,20528,59,0,Elementary Graduate,72,2,0
129046,58896,45,0,High School Graduate,415,4,0
154384,80451,42,450,First Year High School,0,6,2
133985,78010,67,0,Elementary Graduate,0,6,2
131671,66682,39,260,Elementary Graduate,755,6,1
36977,18979,84,380,No Grade Completed,0,2,0
97358,61670,39,1653,Grade 2,1100,8,0
405801,158791,41,800,Engineering and Engineering Trades Programs,200,7,2
134370,61408,47,2080,Elementary Graduate,14300,5,0
166390,87337,50,2730,High School Graduate,12500,4,2
181915,86122,47,620,Elementary Graduate,14676,5,0
76962,43413,63,2070,No Grade Completed,0,4,0
50314,14357,72,0,Elementary Graduate,0,2,0
139735,44759,46,0,First Year High School,3200,4,4
97666,40531,57,290,Elementary Graduate,1750,6,1
104865,40510,50,594,High School Graduate,2125,6,2
48694,19296,70,120,No Grade Completed,0,4,2
73325,37420,48,382,Elementary Graduate,1290,6,1
47438,25014,51,30,Grade 4,200,6,2
110705,35000,78,0,Grade 4,0,3,0
137644,51253,59,1975,High School Graduate,17630,5,1
99741,42561,41,0,Elementary Graduate,3140,5,0
636392,125339,60,1440,Second Year College,16000,5,2
1981267,300176,57,391,Business and Administration Programs,53470,6,2
384000,34300,64,0,Teacher Training and Education Sciences Programs,50,3,2
69079,43179,49,728,Second Year High School,329,4,2
292533,110204,29,0,Health Programs,9000,4,2
484392,116361,43,1005,Life Sciences Programs,2000,5,2
50619,34905,64,0,Grade 3,433,3,0
117895,58429,52,2575,Elementary Graduate,0,4,2
52557,21430,41,0,High School Graduate,970,2,1
91954,46695,42,0,Elementary Graduate,996,5,0
168235,63977,53,0,High School Graduate,9018,7,2
613608,58663,53,480,Teacher Training and Education Sciences Programs,201900,2,2
181215,77545,63,110,Second Year High School,15928,10,3
251832,81998,42,2400,Elementary Graduate,40167,6,0
607445,142898,46,1255,First Year Post Secondary,30000,6,0
153709,51326,73,520,Elementary Graduate,3122,4,0
46595,14505,50,1440,High School Graduate,0,1,0
114630,38406,49,165,First Year College,2595,3,1
139912,71870,49,900,Grade 4,1570,7,2
63185,33819,37,645,Third Year High School,1266,5,2
83851,41904,49,590,Grade 1,730,4,1
84628,38781,55,1170,Grade 3,1420,7,0
99410,55501,50,170,Elementary Graduate,1230,5,1
29463,5408,76,845,No Grade Completed,0,1,0
79940,37712,49,300,Grade 4,950,4,1
51632,22322,37,0,Elementary Graduate,150,3,0
86015,41628,39,1300,Grade 1,680,8,2
115093,52511,37,455,Third Year High School,2140,6,0
34969,14855,78,0,No Grade Completed,0,3,2
624971,98404,37,240,Teacher Training and Education Sciences Programs,1550,5,2
105705,46578,51,1280,Grade 2,700,9,5
75645,49153,36,0,Grade 2,750,6,1
157660,77320,65,3500,No Grade Completed,1620,10,1
70699,33774,35,580,Elementary Graduate,260,6,1
31872,15546,39,1300,No Grade Completed,0,3,1
62405,48199,35,240,Grade 2,150,5,2
112181,57816,40,98,Second Year High School,8500,6,1
143424,77511,45,540,Grade 4,1097,8,2
145500,43651,52,1080,Second Year College,0,2,1
237211,95019,29,0,"Agriculture, Forestry, and Fishery Programs",0,3,2
146899,48575,36,100,Elementary Graduate,1110,6,3
112134,51455,39,180,Grade 3,445,6,1
708095,100730,45,7358,High School Graduate,0,2,2
180659,104706,55,1170,First Year High School,8671,8,1
126648,59896,40,298,Third Year College,240,3,1
143861,80235,49,4472,Grade 5,0,2,2
136356,87932,58,2340,Grade 4,0,3,1
139576,94815,34,360,Elementary Graduate,1830,7,1
92628,41216,51,0,Elementary Graduate,0,3,1
116089,57778,30,563,Second Year High School,700,4,1
142989,104978,43,70,Grade 5,60,6,2
133417,62142,24,20,"Agriculture, Forestry, and Fishery Programs",150,3,1
101930,33397,45,270,Second Year High School,200,4,0
241645,71149,71,0,Grade 4,200,5,2
98743,35862,44,1900,Second Year High School,1750,5,0
117628,47481,63,860,Grade 4,0,6,3
87186,18084,63,190,First Year High School,0,2,0
46997,20822,54,86,Grade 4,0,2,1
109008,30123,32,300,Grade 5,650,4,2
71802,33981,44,2205,Grade 5,250,3,0
57453,33549,46,362,Elementary Graduate,300,6,1
389025,50391,51,285,Elementary Graduate,32650,4,1
